agent_id,agent_name,city,joining_date,rating
86,Amit Singh,Kolkata,2022-02-11,3.8
87,Kiran Shetty,Kolkata,2022-09-25,3.6
88,Karthik Reddy,Mumbai,2022-12-09,4.4
89,Arjun Nair,Bangalore,2022-07-22,3.3
90,Pawan Tiwari,Bangalore,2022-08-23,3.6
91,Yogesh Pawar,Delhi,2022-01-05,3.9
92,Kiran Shetty,Delhi,2022-02-07,4.1
93,Ajay Thakur,Bangalore,2022-03-09,4.9
94,Tarun Saxena,Delhi,2023-03-27,3.5
95,Imran Khan,Mumbai,2022-08-13,4.7
96,Nitin Kulkarni,Bangalore,2022-11-10,5
97,Shubham Arora,Kolkata,2022-01-05,4.3
98,Rohit Malhotra,Bangalore,2023-04-23,4.3
99,Tarun Saxena,Mumbai,2022-05-16,3.2
100,Vikram Patel,Kolkata,2022-03-21,3.5
101,Gaurav Bansal,Mumbai,2023-01-03,3.7
102,Harish Rao,Bangalore,2022-09-16,4
103,Tarun Saxena,Delhi,2022-02-17,4.3
104,Vivek Srivastava,Bangalore,2022-01-23,3
105,Yogesh Pawar,Mumbai,2022-11-23,5
106,Manoj Verma,Chennai,2022-10-10,4.4
107,Rohit Malhotra,Delhi,2022-02-27,3.2
108,Tarun Saxena,Mumbai,2022-10-07,3.1
109,Sanjay Mishra,Kolkata,2022-10-10,3.3
110,Rahul Sharma,Delhi,2022-06-07,3.7
111,Lokesh Chauhan,Delhi,2023-04-06,3.7
112,Harish Rao,Mumbai,2022-12-08,3.2
113,Yogesh Pawar,Kolkata,2023-03-29,4.7
114,Gaurav Bansal,Mumbai,2023-04-19,4.9
115,Mahesh Pillai,Mumbai,2023-05-15,4.6
116,Manoj Verma,Chennai,2022-01-13,3.4
117,Lokesh Chauhan,Bangalore,2023-02-05,4.9
118,Shubham Arora,Mumbai,2022-05-17,3.3
119,Nitin Kulkarni,Delhi,2022-07-15,4.7
120,Mahesh Pillai,Chennai,2022-04-24,3.4
121,Lokesh Chauhan,Chennai,2022-06-29,3.6
122,Shubham Arora,Mumbai,2022-04-25,3
123,Deepak Gupta,Chennai,2022-06-18,3.6
124,Suresh Yadav,Bangalore,2022-06-29,4.3
125,Prakash Iyer,Kolkata,2022-06-19,4.9
126,Vikram Patel,Bangalore,2022-04-02,4.2
127,Karthik Reddy,Delhi,2022-02-25,4.2
128,Sanjay Mishra,Bangalore,2022-08-12,4.2
129,Ajay Thakur,Delhi,2022-07-17,4.8
130,Deepak Gupta,Bangalore,2022-01-23,4.4
131,Ravi Kumar,Kolkata,2023-04-19,4.6
132,Harish Rao,Mumbai,2022-07-06,3.9
133,Harish Rao,Bangalore,2022-11-16,3.6
134,Mahesh Pillai,Delhi,2023-01-04,4.8
135,Ajay Thakur,Bangalore,2022-12-08,3.8
136,Prakash Iyer,Bangalore,2022-10-11,3.3
137,Ramesh Das,Chennai,2022-12-13,4.5
138,Manoj Verma,Kolkata,2022-10-19,3.6
139,Rohit Malhotra,Delhi,2022-06-05,3.6
140,Ramesh Das,Kolkata,2022-11-07,4.3
141,Anil Mehta,Chennai,2022-08-15,4.4
142,Ajay Thakur,Chennai,2023-02-11,4.8
143,Shubham Arora,Mumbai,2022-12-04,3.2
144,Ajay Thakur,Kolkata,2022-06-21,3.2
145,Yogesh Pawar,Mumbai,2022-12-11,3.6
146,Shubham Arora,Mumbai,2022-03-17,3
147,Arjun Nair,Chennai,2022-11-09,4.7
148,Suresh Yadav,Chennai,2022-08-01,4.8
149,Kiran Shetty,Mumbai,2023-01-03,4.4
150,Sunil Choudhary,Chennai,2022-05-05,3.3
151,Nitin Kulkarni,Delhi,2023-04-03,4.5
152,Yogesh Pawar,Delhi,2023-02-03,3.9
153,Manoj Verma,Kolkata,2022-08-26,3.1
154,Arjun Nair,Delhi,2022-08-22,3.3
155,Anil Mehta,Kolkata,2022-10-14,4.2
156,Yogesh Pawar,Chennai,2022-11-10,4.6
157,Tarun Saxena,Kolkata,2022-08-07,4.7
158,Rohit Malhotra,Chennai,2023-04-05,3.3
159,Mahesh Pillai,Chennai,2022-08-19,3.5
160,Arjun Nair,Bangalore,2023-01-28,4.6
161,Sunil Choudhary,Mumbai,2022-05-21,3.9
162,Nitin Kulkarni,Bangalore,2022-05-01,3.5
163,Naveen Joshi,Kolkata,2022-02-11,3.3
164,Arjun Nair,Chennai,2022-12-22,3.3
165,Deepak Gupta,Delhi,2022-08-01,3.8
166,Rohit Malhotra,Chennai,2022-08-01,3.1
167,Vivek Srivastava,Chennai,2022-07-19,4.8
168,Kiran Shetty,Delhi,2023-03-15,4.8
169,Kiran Shetty,Chennai,2022-09-02,3
170,Sanjay Mishra,Bangalore,2023-01-21,3.8
171,Tarun Saxena,Chennai,2022-10-03,4.5
172,Rohit Malhotra,Kolkata,2023-04-05,3.4
173,Arjun Nair,Bangalore,2022-08-12,4
174,Prakash Iyer,Bangalore,2022-12-09,4.4
175,Prakash Iyer,Mumbai,2023-03-07,3.9
176,Rahul Sharma,Kolkata,2022-10-01,3.1
177,Prakash Iyer,Kolkata,2022-10-16,4.3
178,Suresh Yadav,Chennai,2022-03-11,4.7
179,Manoj Verma,Delhi,2022-05-14,3.8
180,Deepak Gupta,Chennai,2022-06-17,3.7
181,Tarun Saxena,Chennai,2022-05-23,4.5
182,Vivek Srivastava,Chennai,2022-05-10,4.7
183,Sunil Choudhary,Delhi,2023-01-19,4.1
184,Sanjay Mishra,Mumbai,2022-11-29,3.1
185,Pawan Tiwari,Delhi,2023-01-22,3.1
186,Arjun Nair,Mumbai,2023-03-06,3
187,Rahul Sharma,Mumbai,2022-03-06,3.9
188,Vikram Patel,Kolkata,2023-05-01,3.4
189,Nitin Kulkarni,Bangalore,2023-01-28,3.7
190,Gaurav Bansal,Kolkata,2023-05-09,4.5
191,Vikram Patel,Mumbai,2023-05-09,3.6
192,Kiran Shetty,Delhi,2023-04-21,3.6
193,Harish Rao,Chennai,2022-07-23,4.9
194,Deepak Gupta,Delhi,2022-10-31,4.4
195,Pawan Tiwari,Mumbai,2022-02-22,4.4
196,Imran Khan,Kolkata,2023-02-17,3.2
197,Kiran Shetty,Delhi,2022-06-27,4.1
198,Harish Rao,Bangalore,2022-02-05,4
199,Naveen Joshi,Delhi,2023-03-11,3.8
200,Sunil Choudhary,Delhi,2022-08-10,4.9
201,Pawan Tiwari,Chennai,2022-12-29,3.3
202,Manoj Verma,Kolkata,2023-05-10,4.3
203,Gaurav Bansal,Kolkata,2023-02-01,4
204,Ramesh Das,Kolkata,2022-05-18,3.6
205,Arjun Nair,Delhi,2022-05-23,4.8
206,Arjun Nair,Chennai,2022-10-19,4.2
207,Prakash Iyer,Bangalore,2022-01-15,4
208,Naveen Joshi,Mumbai,2022-09-07,3.4
209,Shubham Arora,Bangalore,2022-06-24,3.6
210,Gaurav Bansal,Bangalore,2022-10-12,3
211,Deepak Gupta,Delhi,2022-05-04,4.4
212,Sunil Choudhary,Kolkata,2023-01-24,3.5
213,Sunil Choudhary,Chennai,2022-08-18,4.6
214,Suresh Yadav,Bangalore,2022-04-24,3.8
215,Arjun Nair,Bangalore,2022-12-06,4.2
216,Sunil Choudhary,Kolkata,2022-09-29,3.7
217,Abhishek Jain,Kolkata,2022-06-19,3.7
218,Anil Mehta,Bangalore,2022-06-06,3.5
219,Vikram Patel,Mumbai,2022-06-11,3.2
220,Rohit Malhotra,Mumbai,2022-04-09,3.4
221,Sunil Choudhary,Bangalore,2023-01-06,4.2
222,Yogesh Pawar,Kolkata,2022-11-02,3.6
223,Vikram Patel,Mumbai,2022-06-01,3.5
224,Manoj Verma,Bangalore,2022-01-08,4.4
225,Rahul Sharma,Bangalore,2022-01-24,4.9
226,Rohit Malhotra,Bangalore,2022-12-24,4.9
227,Pawan Tiwari,Chennai,2022-02-22,4.7
228,Kiran Shetty,Bangalore,2022-08-29,4
229,Naveen Joshi,Mumbai,2023-05-10,3.1
230,Mahesh Pillai,Chennai,2022-02-28,4.6
231,Prakash Iyer,Chennai,2022-02-07,4.2
232,Harish Rao,Delhi,2022-03-19,3.3
233,Kiran Shetty,Bangalore,2022-02-13,5
234,Vikram Patel,Kolkata,2023-01-27,3.8
235,Gaurav Bansal,Kolkata,2022-04-26,4.6
236,Prakash Iyer,Chennai,2023-04-11,3.9
237,Mahesh Pillai,Kolkata,2022-08-08,3.6
238,Gaurav Bansal,Delhi,2022-11-09,4.9
239,Vikram Patel,Mumbai,2022-11-17,3.4
240,Harish Rao,Delhi,2022-03-22,3.5
241,Rohit Malhotra,Delhi,2022-03-22,3
242,Anil Mehta,Kolkata,2022-08-29,3.6
243,Arjun Nair,Bangalore,2022-12-28,3.6
244,Mahesh Pillai,Chennai,2022-02-06,4.4
245,Lokesh Chauhan,Bangalore,2023-02-08,4.6
246,Kiran Shetty,Mumbai,2022-08-06,3.2
247,Arjun Nair,Mumbai,2023-04-11,3.5
248,Rahul Sharma,Delhi,2022-01-31,3.3
249,Imran Khan,Kolkata,2023-01-19,4.6
250,Lokesh Chauhan,Bangalore,2022-08-13,3.2
251,Nitin Kulkarni,Bangalore,2022-12-25,3.8
252,Karthik Reddy,Kolkata,2022-10-04,4
253,Suresh Yadav,Kolkata,2022-01-21,4.8
254,Abhishek Jain,Bangalore,2022-11-06,3.5
255,Suresh Yadav,Mumbai,2023-05-08,4.3
256,Mahesh Pillai,Kolkata,2022-10-28,4.9
257,Yogesh Pawar,Bangalore,2022-10-23,3.1
258,Yogesh Pawar,Mumbai,2022-08-29,4
259,Anil Mehta,Bangalore,2022-04-03,5
260,Ramesh Das,Chennai,2023-05-12,3.2
261,Sanjay Mishra,Chennai,2022-06-20,3.6
262,Vikram Patel,Mumbai,2022-06-18,3.8
263,Sunil Choudhary,Bangalore,2022-12-06,4.9
264,Vivek Srivastava,Kolkata,2022-01-19,3.9
265,Naveen Joshi,Bangalore,2022-06-15,3.2
266,Yogesh Pawar,Chennai,2023-03-19,4
267,Ravi Kumar,Kolkata,2022-08-25,3.8
268,Deepak Gupta,Kolkata,2022-07-05,4.2
269,Sunil Choudhary,Chennai,2023-01-25,3.1
270,Karthik Reddy,Kolkata,2022-03-09,4.9
271,Anil Mehta,Chennai,2022-03-04,3.1
272,Pawan Tiwari,Kolkata,2023-02-14,3.5
273,Manoj Verma,Bangalore,2022-10-10,3
274,Ramesh Das,Delhi,2022-04-26,5
275,Lokesh Chauhan,Delhi,2022-08-25,4.9
276,Pawan Tiwari,Mumbai,2022-09-13,4.9
277,Imran Khan,Kolkata,2022-12-28,3.5
278,Vivek Srivastava,Chennai,2022-08-30,3.5
279,Rohit Malhotra,Mumbai,2022-07-16,3.4
280,Gaurav Bansal,Kolkata,2023-01-18,4.8
281,Mahesh Pillai,Delhi,2022-05-22,4.5
282,Mahesh Pillai,Chennai,2022-06-24,4.9
283,Ajay Thakur,Bangalore,2023-02-25,3
284,Abhishek Jain,Bangalore,2023-03-05,4.2
285,Harish Rao,Chennai,2023-03-20,3.3
286,Rohit Malhotra,Chennai,2022-06-26,3.7
287,Yogesh Pawar,Kolkata,2022-07-13,3.9
288,Naveen Joshi,Mumbai,2022-12-24,3.5
289,Prakash Iyer,Mumbai,2023-03-15,4.6
290,Amit Singh,Bangalore,2023-01-17,3.9
291,Lokesh Chauhan,Chennai,2022-07-17,5
292,Shubham Arora,Mumbai,2022-09-11,4.9
293,Rahul Sharma,Kolkata,2023-05-10,4.2
294,Mahesh Pillai,Delhi,2023-03-24,4.7
295,Vikram Patel,Kolkata,2023-04-12,3.9
296,Abhishek Jain,Mumbai,2022-07-29,4.7
297,Rahul Sharma,Delhi,2022-08-29,4.6
298,Karthik Reddy,Bangalore,2022-11-16,4.4
299,Pawan Tiwari,Delhi,2023-03-13,3.7
300,Harish Rao,Kolkata,2022-07-14,4.9
