customer_id,name,city,signup_date,gender
60,Meera,Chennai,30-07-2023,Female
61,Anjali,Delhi,11-12-2023,Female
62,Vivaan,Chennai,23-06-2023,Male
63,Sai,Mumbai,08-04-2023,Male
64,Pari,Chennai,04-04-2023,Female
65,Pooja,Mumbai,08-02-2023,Female
66,Lavanya,Kolkata,20-02-2023,Female
67,Harsh,Kolkata,08-01-2023,Male
68,Karthik,Mumbai,27-03-2023,Male
69,Neha,Chennai,20-04-2023,Female
70,Komal,Delhi,26-03-2023,Female
71,Aanya,Chennai,16-05-2023,Female
72,Myra,Chennai,23-12-2023,Female
73,Pari,Mumbai,01-06-2023,Female
74,Vivaan,Kolkata,05-10-2023,Male
75,Varun,Bangalore,30-01-2023,Male
76,Manav,Chennai,15-09-2023,Male
77,Vivaan,Kolkata,11-02-2023,Male
78,Aditya,Kolkata,04-02-2023,Male
79,Shaurya,Delhi,19-10-2023,Male
80,Manav,Kolkata,21-01-2023,Male
81,Atharv,Kolkata,17-10-2023,Male
82,Payal,Bangalore,15-04-2023,Female
83,Sara,Bangalore,22-07-2023,Female
84,Siddharth,Bangalore,23-08-2023,Male
85,Payal,Delhi,05-01-2023,Female
86,Shreya,Kolkata,21-02-2023,Female
87,Kunal,Mumbai,17-09-2023,Male
88,Pari,Bangalore,05-02-2023,Female
89,Ishaan,Bangalore,22-03-2023,Male
90,Bhavya,Kolkata,27-12-2023,Female
91,Shreya,Kolkata,05-01-2023,Female
92,Payal,Delhi,10-03-2023,Female
93,Ananya,Delhi,11-10-2023,Female
94,Arnav,Bangalore,06-11-2023,Male
95,Aniket,Bangalore,15-04-2023,Male
96,Priya,Chennai,09-05-2023,Female
97,Aditya,Chennai,22-05-2023,Male
98,Aarav,Bangalore,08-03-2023,Male
99,Anika,Chennai,10-10-2023,Female
100,Sneha,Delhi,27-02-2023,Female
101,Deepak,Mumbai,07-10-2023,Male
102,Rahul,Bangalore,26-10-2023,Male
103,Atharv,Mumbai,22-01-2023,Male
104,Meera,Delhi,03-07-2023,Female
105,Siddharth,Mumbai,08-12-2023,Male
106,Ishaan,Kolkata,28-07-2023,Male
107,Karthik,Mumbai,25-03-2023,Male
108,Deepak,Chennai,13-01-2023,Male
109,Varun,Bangalore,30-07-2023,Male
110,Arnav,Mumbai,26-12-2023,Male
111,Shaurya,Delhi,29-08-2023,Male
112,Muhammad,Chennai,29-06-2023,Male
113,Bhavya,Mumbai,25-04-2023,Female
114,Siddharth,Mumbai,24-07-2023,Male
115,Ira,Delhi,23-05-2023,Female
116,Nandini,Kolkata,24-07-2023,Female
117,Aanya,Delhi,14-05-2023,Female
118,Manav,Bangalore,20-01-2023,Male
119,Yash,Chennai,26-06-2023,Male
120,Kavya,Kolkata,19-09-2023,Female
121,Shaurya,Kolkata,08-04-2023,Male
122,Diya,Chennai,01-01-2023,Female
123,Ishaan,Chennai,05-02-2023,Male
124,Shreya,Bangalore,06-12-2023,Female
125,Varun,Bangalore,17-09-2023,Male
126,Swara,Chennai,17-06-2023,Female
127,Tanya,Bangalore,11-10-2023,Female
128,Muhammad,Chennai,07-12-2023,Male
129,Swara,Mumbai,12-11-2023,Female
130,Ishita,Kolkata,01-01-2023,Female
131,Myra,Mumbai,09-08-2023,Female
132,Pooja,Chennai,15-08-2023,Female
133,Rohan,Chennai,28-03-2023,Male
134,Ayaan,Kolkata,06-12-2023,Male
135,Saanvi,Mumbai,11-12-2023,Female
136,Sara,Mumbai,17-03-2023,Female
137,Vivaan,Mumbai,01-09-2023,Male
138,Dhruv,Chennai,19-11-2023,Male
139,Aniket,Chennai,11-09-2023,Male
140,Sara,Mumbai,02-12-2023,Female
141,Deepak,Delhi,06-08-2023,Male
142,Reyansh,Kolkata,26-08-2023,Male
143,Kunal,Mumbai,04-03-2023,Male
144,Pari,Chennai,08-12-2023,Female
145,Simran,Chennai,10-11-2023,Female
146,Bhavya,Kolkata,17-08-2023,Female
147,Varun,Chennai,19-08-2023,Male
148,Simran,Mumbai,23-11-2023,Female
149,Simran,Kolkata,06-09-2023,Female
150,Arnav,Chennai,09-02-2023,Male
151,Sara,Bangalore,21-06-2023,Female
152,Komal,Kolkata,11-02-2023,Female
153,Arjun,Mumbai,16-07-2023,Male
154,Aniket,Mumbai,02-02-2023,Male
155,Kavya,Bangalore,05-10-2023,Female
156,Kavya,Delhi,16-04-2023,Female
157,Ishita,Kolkata,23-12-2023,Female
158,Nikhil,Kolkata,14-07-2023,Male
159,Aanya,Bangalore,02-06-2023,Female
160,Anjali,Chennai,03-10-2023,Female
161,Kabir,Mumbai,20-05-2023,Male
162,Neha,Delhi,19-07-2023,Female
163,Swara,Chennai,26-03-2023,Female
164,Payal,Mumbai,15-11-2023,Female
165,Karthik,Chennai,31-10-2023,Male
166,Aditya,Chennai,11-03-2023,Male
167,Anika,Delhi,14-05-2023,Female
168,Riya,Mumbai,21-08-2023,Female
169,Riya,Chennai,23-05-2023,Female
170,Ira,Delhi,29-08-2023,Female
171,Varun,Kolkata,27-01-2023,Male
172,Sara,Delhi,30-11-2023,Female
173,Raj,Delhi,07-05-2023,Male
174,Rahul,Delhi,15-11-2023,Male
175,Sai,Mumbai,31-08-2023,Male
176,Manav,Mumbai,27-08-2023,Male
177,Simran,Bangalore,27-03-2023,Female
178,Raj,Mumbai,09-06-2023,Male
179,Manav,Delhi,09-06-2023,Male
180,Ishita,Mumbai,08-02-2023,Female
181,Vihaan,Bangalore,17-12-2023,Male
182,Amit,Kolkata,22-01-2023,Male
183,Sneha,Chennai,05-12-2023,Female
184,Saanvi,Kolkata,28-11-2023,Female
185,Aanya,Chennai,08-09-2023,Female
186,Atharv,Bangalore,22-11-2023,Male
187,Tanya,Mumbai,11-08-2023,Female
188,Varun,Kolkata,30-11-2023,Male
189,Shreya,Kolkata,05-09-2023,Female
190,Kavya,Kolkata,18-05-2023,Female
191,Anjali,Mumbai,14-02-2023,Female
192,Komal,Chennai,05-05-2023,Female
193,Aditi,Kolkata,09-12-2023,Female
194,Riya,Delhi,11-09-2023,Female
195,Anika,Chennai,19-04-2023,Female
196,Lavanya,Bangalore,24-06-2023,Female
197,Komal,Kolkata,26-12-2023,Female
198,Sneha,Delhi,22-09-2023,Female
199,Aditya,Mumbai,28-07-2023,Male
200,Sneha,Mumbai,20-12-2023,Female
201,Nandini,Chennai,18-08-2023,Female
202,Aditya,Bangalore,24-04-2023,Male
203,Tanya,Mumbai,06-06-2023,Female
204,Neha,Kolkata,29-09-2023,Female
205,Kavya,Kolkata,19-06-2023,Female
206,Tanya,Chennai,19-05-2023,Female
207,Ira,Mumbai,03-03-2023,Female
208,Krishna,Delhi,02-10-2023,Male
209,Muhammad,Mumbai,05-09-2023,Male
210,Radhika,Kolkata,26-09-2023,Female
211,Ananya,Mumbai,01-06-2023,Female
212,Ishaan,Mumbai,04-06-2023,Male
213,Aniket,Kolkata,06-03-2023,Male
214,Diya,Delhi,11-10-2023,Female
215,Tanya,Mumbai,23-11-2023,Female
216,Ananya,Delhi,21-10-2023,Female
217,Neha,Chennai,14-08-2023,Female
218,Anika,Delhi,10-05-2023,Female
219,Ananya,Delhi,25-07-2023,Female
220,Saanvi,Kolkata,19-11-2023,Female
221,Arjun,Mumbai,16-10-2023,Male
222,Saanvi,Mumbai,02-03-2023,Female
223,Shreya,Kolkata,13-11-2023,Female
224,Raj,Kolkata,14-07-2023,Male
225,Payal,Chennai,02-06-2023,Female
226,Myra,Kolkata,14-11-2023,Female
227,Yash,Delhi,17-04-2023,Male
228,Arnav,Delhi,22-03-2023,Male
229,Reyansh,Kolkata,08-02-2023,Male
230,Aarav,Chennai,19-08-2023,Male
231,Myra,Delhi,29-04-2023,Female
232,Tanya,Bangalore,26-12-2023,Female
233,Saanvi,Mumbai,16-05-2023,Female
234,Atharv,Delhi,06-10-2023,Male
235,Harsh,Mumbai,17-05-2023,Male
236,Aditya,Delhi,26-03-2023,Male
237,Shreya,Kolkata,28-05-2023,Female
238,Ananya,Chennai,19-12-2023,Female
239,Tanya,Chennai,20-05-2023,Female
240,Pooja,Delhi,03-11-2023,Female
241,Deepak,Chennai,15-06-2023,Male
242,Aanya,Delhi,28-04-2023,Female
243,Raj,Bangalore,23-10-2023,Male
244,Raj,Mumbai,29-08-2023,Male
245,Payal,Bangalore,03-04-2023,Female
246,Nandini,Chennai,16-02-2023,Female
247,Meera,Chennai,20-06-2023,Female
248,Swara,Delhi,24-03-2023,Female
249,Kavya,Chennai,28-05-2023,Female
250,Bhavya,Kolkata,19-01-2023,Female
251,Saanvi,Bangalore,10-05-2023,Female
252,Ananya,Chennai,21-09-2023,Female
253,Siddharth,Kolkata,25-08-2023,Male
254,Diya,Mumbai,23-09-2023,Female
255,Shreya,Chennai,17-11-2023,Female
256,Simran,Delhi,15-04-2023,Female
257,Sneha,Mumbai,28-05-2023,Female
258,Komal,Chennai,04-03-2023,Female
259,Harsh,Kolkata,03-05-2023,Male
260,Ayaan,Kolkata,08-01-2023,Male
261,Saanvi,Mumbai,28-02-2023,Female
262,Ananya,Mumbai,13-09-2023,Female
263,Priya,Bangalore,01-08-2023,Female
264,Neha,Mumbai,22-08-2023,Female
265,Shaurya,Mumbai,03-11-2023,Male
266,Nikhil,Delhi,22-05-2023,Male
267,Riya,Kolkata,17-05-2023,Female
268,Ayaan,Bangalore,28-10-2023,Male
269,Anjali,Mumbai,17-08-2023,Female
270,Meera,Bangalore,10-10-2023,Female
271,Pooja,Bangalore,07-04-2023,Female
272,Manav,Chennai,30-04-2023,Male
273,Diya,Bangalore,31-08-2023,Female
274,Ishita,Mumbai,11-09-2023,Female
275,Arjun,Kolkata,30-10-2023,Male
276,Anjali,Delhi,14-08-2023,Female
277,Rohan,Chennai,08-01-2023,Male
278,Atharv,Mumbai,08-02-2023,Male
279,Lavanya,Bangalore,23-06-2023,Female
280,Nandini,Delhi,18-06-2023,Female
281,Riya,Chennai,05-10-2023,Female
282,Yash,Delhi,01-05-2023,Male
283,Sara,Delhi,11-08-2023,Female
284,Raj,Delhi,16-08-2023,Male
285,Aniket,Bangalore,15-01-2023,Male
286,Krishna,Delhi,31-05-2023,Male
287,Meera,Chennai,16-03-2023,Female
288,Rohan,Chennai,17-10-2023,Male
289,Reyansh,Mumbai,10-02-2023,Male
290,Shreya,Mumbai,12-09-2023,Female
291,Sai,Chennai,23-11-2023,Male
292,Pooja,Bangalore,08-12-2023,Female
293,Deepak,Chennai,28-05-2023,Male
294,Aditya,Chennai,26-06-2023,Male
295,Nandini,Chennai,20-12-2023,Female
296,Pooja,Bangalore,12-04-2023,Female
297,Anjali,Chennai,24-02-2023,Female
298,Shaurya,Kolkata,03-07-2023,Male
299,Tanya,Bangalore,12-01-2023,Female
300,Ira,Delhi,17-10-2023,Female
